date,text
1993-02-03,"
    Secretary's note: Advice subsequently was received 
      that the selections indicated above were satisfactory 
      to the board of directors of the Federal Reserve Bank 
      of New York.
  "
1993-02-03,"
    (a) To buy or sell U. S. Government securities, 
      including securities of the Federal Financing Bank, and 
      securities that are direct obligations of, or fully 
      guaranteed as to principal and interest by, any agency of 
      the United States in the open market, from or to 
      securities dealers and foreign and international accounts 
      maintained at the Federal Reserve Bank of New York, on a 
      cash, regular, or deferred delivery basis, for the System 
      Open Market Account at market prices, and, for such 
      Account, to exchange maturing U. S. Government and 
      Federal agency securities with the Treasury or the 
      individual agencies or to allow them to mature without 
      replacement; provided that the aggregate amount of U. S. 
      Government and Federal agency securities held in such 
      Account (including forward commitments) at the close of 
      business on the day of a meeting of the Committee at 
      which action is taken with respect to a domestic policy 
      directive shall not be increased or decreased by more 
      than $8.0 billion during the period commencing with the 
      opening of business on the day following such meeting and 
      ending with the close of business on the day of the next 
      such meeting;
    (b) When appropriate, to buy or sell in the open 
      market, from or to acceptance dealers and foreign 
      accounts maintained at the Federal Reserve Bank of New 
      York, on a cash, regular, or deferred delivery basis, for 
      the account of the Federal Reserve Bank of New York at 
      market discount rates, prime bankers acceptances with 
      maturities of up to nine months at the time of acceptance 
      that (1) arise out of the current shipment of goods 
      between countries or within the United States, or (2) 
      arise out of the storage within the United States of 
      goods under contract of sale or expected to move into the 
      channels of trade within a reasonable time and that are 
      secured throughout their life by a warehouse receipt or 
      similar document conveying title to the underlying goods; 
      provided that the aggregate amount of bankers acceptances 
      held at any one time shall not exceed $100 million;
    (c) To buy U. S. Government securities, obligations 
      that are direct obligations of, or fully guaranteed as to 
      principal and interest by, any agency of the United 
      States, and prime bankers acceptances of the types 
      authorized for purchase under l(b) above, from dealers 
      for the account of the Federal Reserve Bank of New York 
      under agreements for repurchase of such securities, 
      obligations, or acceptances in 15 calendar days or less, 
      at rates that, unless otherwise expressly authorized by 
      the Committee, shall be determined by competitive 
      bidding, after applying reasonable limitations on the 
      volume of agreements with individual dealers; provided 
      that in the event Government securities or agency issues 
      covered by any such agreement are not repurchased by the 
      dealer pursuant to the agreement or a renewal thereof, 
      they shall be sold in the market or transferred to the 
      System Open Market Account; and provided further that in 
      the event bankers acceptances covered by any such 
      agreement are not repurchased by the seller, they shall 
      continue to be held by the Federal Reserve Bank or shall 
      be sold in the open market.
  "
1993-02-03,"
    A. To purchase and sell the following foreign 
      currencies in the form of cable transfers through spot or 
      forward transactions on the open market at home and 
      abroad, including transactions with the U. S. Treasury, 
      with the U. S. Exchange Stabilization Fund established by 
      Section 10 of the Gold Reserve Act of 1934, with foreign 
      monetary authorities, with the Bank for International 
      Settlements, and with other international financial 
      institutions:
    Austrian schillings 
      Belgian francs 
      Canadian dollars 
      Danish kroner 
      Pounds sterling 
      
      French francs 
      
      German marks 
      
      Italian lire 
      Japanese yen 
      Mexican pesos 
      Netherlands guilders 
      Norwegian kroner 
      Swedish kronor 
      Swiss francs
    B. To hold balances of, and to have outstanding forward 
      contracts to receive or to deliver, the foreign 
      currencies listed in paragraph A above.
    C. To draw foreign currencies and to permit foreign 
      banks to draw dollars under the reciprocal currency 
      arrangements listed in paragraph 2 below, provided that 
      drawings by either party to any such arrangement shall be 
      fully liquidated within 12 months after any amount 
      outstanding at that time was first drawn, unless the 
      Committee, because of exceptional circumstances, 
      specifically authorizes a delay.
    D. To maintain an overall open position in all foreign 
      currencies not exceeding $25.0 billion. For this 
      purpose, the overall open position in all foreign 
      currencies is defined as the sum (disregarding signs) of 
      net positions in individual currencies. The net position 
      in a single foreign currency is defined as holdings of 
      balances in that currency, plus outstanding contracts for 
      future receipt, minus outstanding contracts for future 
      delivery of that currency, i.e., as the sum of these 
      elements with due regard to sign.
  "
1993-02-03,"Any changes in the terms of existing swap arrangements, 
    and the proposed terms of any new arrangements that may 
    be authorized, shall be referred for review and 
  approval to the Committee."
1993-02-03,"3. All transactions in foreign currencies undertaken 
    under paragraph I(A) above shall, unless otherwise 
    expressly authorized by the Committee, be at prevailing 
    market rates. For the purpose of providing an 
    investment return on System holdings of foreign 
    currencies, or for the purpose of adjusting interest 
    rates paid or received in connection with swap 
    drawings, transactions with foreign central banks may 
    be undertaken at non-market exchange rates."
1993-02-03,"4. It shall be the normal practice to arrange with 
    foreign central banks for the coordination of foreign 
    currency transactions. In making operating 
    arrangements with foreign central banks on System 
    holdings of foreign currencies, the Federal Reserve 
    Bank of New York shall not commit itself to maintain 
    any specific balance, unless authorized by the Federal 
    Open Market Committee. Any agreements or 
    understandings concerning the administration of the 
    accounts maintained by the Federal Reserve Bank of New 
    York with the foreign banks designated by the Board of 
    Governors under Section 214.5 of Regulation N shall be 
    referred for review and approval to the Committee."
1993-02-03,"5. Foreign currency holdings shall be invested 
    insofar as practicable, considering needs for minimum 
    working balances. Such investments shall be in liquid 
    form, and generally have no more than 12 months 
    remaining to maturity. When appropriate in connection 
    with arrangements to provide investment facilities for 
    foreign currency holdings, U. S. Government securities 
    may be purchased from foreign central banks under 
    agreements for repurchase of such securities within 30 
    calendar days."
1993-02-03,"6. All operations undertaken pursuant to the 
    preceding paragraphs shall be reported promptly to the 
    Foreign Currency Subcommittee and the Committee. The 
    Foreign Currency Subcommittee consists of the Chairman 
    and Vice Chairman of the Committee, the Vice Chairman 
    of the Board of Governors, and such other member of the 
    Board as the Chairman may designate (or in the absence 
    of members of the Board serving on the Subcommittee, 
    other Board Members designated by the Chairman as 
    alternates, and in the absence of the Vice Chairman of 
    the Committee, his alternate). Meetings of the 
    Subcommittee shall be called at the request of any 
    member, or at the request of the Manager of the System 
    Open Market Account, for the purposes of reviewing 
    recent or contemplated operations and of consulting 
    with the Manager on other matters relating to his 
    responsibilities. At the request of any member of the 
    Subcommittee, questions arising from such reviews and 
    consultations shall be referred for determination to 
    the Federal Open Market Committee."
1993-02-03,7. The Chairman is authorized:
1993-02-03,"
    A. With the approval of the Committee, to enter 
      into any needed agreement or understanding with the 
      Secretary of the Treasury about the division of 
      responsibility for foreign currency operations between 
      the System and the Treasury;
    B. To keep the Secretary of the Treasury fully 
      advised concerning System foreign currency operations, 
      and to consult with the Secretary on policy matters 
      relating to foreign currency operations;
    C. From time to time, to transmit appropriate 
      reports and information to the National Advisory 
      Council on International Monetary and Financial 
      Policies.
  "
